FirstName,LastName,Pesel,BloodGroup,BloodRhFactor,Amount,Date
Marvin,Ninnis,16593927860,1,0,900,5/16/2018
Adair,Buckingham,44679979618,3,0,485,8/27/2018
Agnes,Zavattiero,68650044582,1,0,891,10/28/2018
Murray,Heatly,46566500559,2,1,573,8/31/2018
Shanda,Tommaseo,32514348595,0,1,339,8/31/2018
Stephan,Brayshay,12548226308,3,1,548,12/11/2018
Elwyn,Lantaph,71352417604,3,0,289,10/12/2018
Davy,Esel,91207998292,1,0,502,10/1/2018
Cly,Soonhouse,06938203093,0,0,409,11/27/2018
Thatch,DelaField,24871540084,0,1,381,11/2/2018
Thomasina,Simmons,55759783192,3,0,339,10/21/2018
Marie,Bruty,84927800611,0,1,725,11/6/2018
Grissel,Eslemont,20099132470,0,0,709,11/3/2018
Bryana,Quince,71595956774,0,0,754,3/15/2019
Suzi,Mazzey,47680958943,1,0,178,10/13/2018
Kara,Thynne,40413400235,0,1,723,10/4/2018
Timotheus,Pitrelli,77964645768,0,0,412,7/16/2018
Catherine,Boulden,49295075736,3,1,956,7/7/2018
Emelina,Truse,44355388180,3,0,659,1/29/2019
Gilbert,Stirman,80984038982,1,0,991,2/22/2019
Gregorius,Larose,29605611973,0,0,549,4/11/2019
Prudence,Scutchin,63728974780,0,0,600,12/11/2018
Sammie,Bates,67581338780,2,1,936,8/18/2018
Frasco,Yeld,99202612654,2,1,361,5/16/2018
Raimund,Firminger,43825215345,2,0,933,8/11/2018
Madella,Beardsdale,77401095276,2,1,318,11/22/2018
Adella,Gepp,23852435756,3,0,593,4/12/2019
Johanna,Battlestone,13533893511,2,0,328,5/2/2018
Emlyn,Hargroves,20556686150,3,0,230,8/19/2018
Adeline,Nisbet,81782290705,0,0,434,6/17/2018
Eadie,Woller,19677564555,3,1,539,1/26/2019
Lidia,Burhill,21982926398,2,1,494,4/3/2019
Karney,Dyster,62576532644,2,1,954,2/8/2019
Thea,Helversen,45024967671,0,1,888,12/10/2018
Gene,Ortas,19901672729,1,1,917,5/29/2018
Shawnee,Girardey,58317354092,0,1,267,10/28/2018
Reina,Combes,47951477375,2,0,896,12/9/2018
Theodoric,Tower,87246058550,3,1,706,11/28/2018
Adria,Labeuil,00531023118,0,1,797,6/25/2018
Dannye,Gallemore,15051544188,1,0,665,3/12/2019
Dido,Tortice,56262213804,0,0,789,2/3/2019
Melantha,Caunter,20360314833,0,0,760,7/8/2018
Bartlet,de Merida,57169127664,3,1,557,9/7/2018
Thurston,Jandak,00186363653,2,1,200,4/21/2019
Wittie,Peron,91468253722,3,1,212,10/21/2018
Melisande,Lorie,89951027884,1,0,908,3/3/2019
Alicia,Suffe,45396271037,1,1,783,9/6/2018
Shurlock,Entwisle,08497307924,0,0,568,8/3/2018
Krystle,O' Cuolahan,38671979434,3,1,760,11/28/2018
Cam,Seager,76714475415,2,0,685,10/28/2018
Pearce,Eddins,73388518612,3,0,645,1/24/2019
Stace,Glader,31020173643,1,1,357,5/17/2018
Florencia,Jouandet,33975375943,3,1,687,9/22/2018
Clare,Ettridge,34980848386,1,0,210,9/29/2018
Jaimie,Shambrook,78003992255,2,1,833,4/4/2019
Yolanda,Gisbye,67015685470,2,1,685,11/15/2018
Cherrita,Pinel,59650385606,3,1,369,11/21/2018
Kira,Twigge,61391364972,1,1,640,1/14/2019
Minne,Coulson,15153203143,0,0,755,2/10/2019
Griffy,Baseggio,03934795232,2,0,928,2/21/2019
Hugues,Abramchik,06857079246,2,1,524,12/3/2018
Jo-anne,Woolston,84290092848,3,1,395,12/31/2018
Henderson,Antonazzi,80351013313,0,0,925,9/14/2018
Innis,Ryson,01216407173,1,1,998,6/21/2018
Garrard,Garcia,91755959363,1,0,107,4/16/2019
Clarine,Oxford,87403816497,3,1,829,8/10/2018
Fenelia,Lewington,80629435204,1,0,999,10/27/2018
Garry,Fice,73691445198,2,0,998,9/17/2018
Fayre,Benka,67386334965,2,1,979,9/27/2018
Shoshana,Lambertazzi,33633633901,1,0,767,10/10/2018
Sukey,Armitt,90941554275,3,1,402,1/30/2019
Franni,Henniger,68436914358,0,1,771,11/19/2018
Tarra,Colson,38476763618,3,1,713,1/16/2019
Robbin,Tison,60143044638,2,1,498,11/10/2018
Maje,Amis,29758722065,0,0,588,3/17/2019
Ralf,Dobson,97011550148,0,1,546,1/5/2019
Danit,Garretts,75073234061,2,0,202,3/2/2019
Teddy,Temblett,92901179880,1,1,688,3/20/2019
Jacobo,Points,36164730314,3,0,344,7/26/2018
Tallia,Wegenen,21652636775,0,0,565,10/26/2018
Madelene,Aughton,01019913361,3,0,154,12/17/2018
Itch,Good,85189415156,1,1,549,7/1/2018
Letti,Ragless,32436795748,2,1,833,5/24/2018
Sabra,Brearley,89257836666,2,1,267,11/29/2018
Micki,Drewry,16240695744,0,1,539,11/29/2018
Iain,Deeman,15887637168,2,1,688,2/2/2019
Nissie,Roncelli,17592552797,3,1,739,9/26/2018
Vi,Gilkison,49452898063,3,1,172,2/16/2019
Delora,Duham,29147774603,2,0,407,3/2/2019
Genni,McIlvenny,48017889569,0,0,150,5/5/2018
Merline,Alsobrook,38741612764,3,0,806,3/11/2019
Revkah,Woolsey,40809575563,3,0,755,11/14/2018
Vin,Ziem,51473818493,2,0,318,10/11/2018
Travis,Leates,34396756163,1,1,481,6/7/2018
Donelle,Janway,61068227098,2,1,686,11/17/2018
Dallon,Clawsley,03916868904,3,1,400,5/17/2018
Levon,Ebbage,93981276500,2,1,352,8/24/2018
Giffard,Braisby,37748334594,1,1,134,6/7/2018
Alvy,Linny,29747267476,1,0,524,5/27/2018
Wynn,Fardell,23003963146,1,0,673,5/11/2018
Kerrin,Poel,11721869192,0,0,671,11/30/2018
Dominique,Schubert,54859942304,3,0,658,10/29/2018
Feliza,Sheffield,55497164359,1,0,377,7/10/2018
Carny,Morsey,15820678786,2,1,225,7/20/2018
Maurie,Blanket,03927266126,2,0,966,5/24/2018
Barbabas,Fansy,74493234525,1,1,391,2/26/2019
Tedie,Brotherhead,46411554497,3,1,654,6/16/2018
Shawn,Quiddihy,69137616748,2,1,781,5/10/2018
Levin,McCallam,27310359469,3,1,609,8/18/2018
Karyl,Johnikin,16065996874,3,0,694,3/8/2019
Alli,Meas,30296432643,2,0,710,4/24/2019
Eustacia,Forlong,12049086492,1,0,229,9/27/2018
Aggy,Matys,74972169736,1,0,654,10/15/2018
Cchaddie,MacTrustrie,83894859438,0,1,771,7/1/2018
Lanae,Clawley,35111882277,0,0,140,2/24/2019
Maxy,Kmiec,44042634219,3,0,271,12/19/2018
