Stesha,Semiraz,91520345329,1,3,0,4,6/22/2018
Der,Ellen,46458385696,0,3,0,3,1/21/2019
Bev,Bosman,80623381514,1,1,1,4,4/10/2019
Hally,Tyre,10695862768,0,1,0,2,6/6/2018
Andrus,Prosek,49909632086,1,2,0,4,1/3/2019
Zebulon,Tremolieres,07396275770,1,1,0,2,8/8/2018
Zebedee,O'Hanley,51950341992,1,3,0,0,12/31/2018
Tilly,Fawdry,27785689039,1,0,0,4,1/30/2019
Arleyne,Klessmann,83007654769,0,2,1,0,3/14/2019
Evangelin,McPaik,17560073067,0,1,0,2,10/1/2018
Micah,Clutterham,71942253459,1,0,1,3,7/13/2018
Mandel,Beeble,02597008192,1,0,0,2,9/16/2018
Moss,Aldred,91226444229,0,2,0,4,3/23/2019
Finlay,Gallahar,09581003774,0,3,0,3,8/23/2018
Clint,Tosdevin,55784976124,1,0,0,3,8/31/2018
Kellie,Lochead,28734836868,0,0,0,4,7/19/2018
Jodee,Flaws,57493537191,1,1,1,2,5/13/2018
Elyssa,Dryburgh,69701501039,0,0,1,4,9/24/2018
Land,Dampier,22459516423,0,3,1,2,3/20/2019
Ravid,Beaten,84673307081,0,1,1,3,7/1/2018
Barn,Ridel,93562539249,1,0,1,3,9/14/2018
Dewain,Chawner,77878803405,1,1,0,4,3/24/2019
Harman,Pettersen,57068097302,0,2,1,4,10/8/2018
Siusan,Sanpher,19992026787,1,1,0,1,10/6/2018
Kaitlin,Merrill,27935129713,1,3,0,0,12/8/2018
Noe,Swiffan,15403199387,0,0,0,0,2/25/2019
Bengt,McNickle,02454691731,1,2,0,3,1/22/2019
Henrik,Younghusband,06110667016,0,2,1,3,6/26/2018
Elbertine,Gabler,83123750729,1,3,0,2,11/3/2018
Abner,Dalliwater,85194083783,1,0,1,4,1/19/2019
Coretta,Lefley,82529842105,1,1,1,3,3/5/2019
Jory,Woonton,19269301732,0,3,1,0,2/2/2019
Catherina,Oldaker,87298290438,0,2,0,2,12/13/2018
Aprilette,McOwen,23602233306,0,3,0,4,5/29/2018
Taffy,Woodman,30912824292,1,0,1,1,2/8/2019
Jordon,Boyford,82268386114,0,2,0,0,9/28/2018
Loise,Drinkwater,24671015836,1,0,1,4,5/1/2019
Wendie,Croan,18292352614,1,3,0,4,4/30/2019
Noell,Havelin,28827795821,1,0,0,1,9/22/2018
Abbi,Kerslake,36851117693,1,0,1,1,7/6/2018
Alexandr,Culver,89647077789,0,1,0,3,2/23/2019
Haskell,Niblock,27149235805,0,0,1,3,7/25/2018
Free,Caswell,58072245605,0,1,0,0,11/6/2018
Elsinore,Androsik,30196579060,0,3,1,4,1/29/2019
Selma,Plan,83740697796,0,2,0,2,6/8/2018
Julieta,Adao,80823498152,1,0,1,1,9/10/2018
Tammy,Oxenden,86309983968,1,1,1,3,11/6/2018
Quinton,Shaplin,89331205695,0,3,0,2,7/24/2018
Isidoro,Bescoby,03607023401,0,2,0,4,9/24/2018
Daron,Marshallsay,27938515654,1,3,0,0,9/10/2018
Walton,Cleghorn,02140181899,0,0,1,2,1/24/2019
Eduard,Sandeson,91410848423,0,2,0,4,3/1/2019
Adela,Woolatt,16578039207,1,0,1,1,12/1/2018
Caralie,Tomicki,98068468017,1,3,1,2,10/11/2018
Ingram,Mozzetti,71170886916,1,2,1,2,7/21/2018
Gene,Wackley,57959910438,1,3,1,1,12/2/2018
Barri,Barends,26216265087,1,3,0,4,6/25/2018
Lynnet,Peakman,17357411382,1,0,0,4,5/1/2019
Forest,Rawlyns,16536809302,0,1,1,2,10/8/2018
Nani,Vedenichev,86616268578,0,0,1,1,7/23/2018
Dominik,Gibbieson,03294032896,1,0,1,4,4/4/2019
Wendie,Flement,37813811059,0,2,1,1,1/12/2019
Delilah,Birchill,88831517111,1,3,0,1,7/4/2018
Mandel,Elwyn,29979487314,1,0,0,1,3/12/2019
Nance,Simion,40749580075,1,1,0,1,8/10/2018
Arlyne,MacElroy,54916230631,0,0,0,4,5/19/2018
Harmon,Lamburne,01704624816,1,0,0,4,4/28/2019
Garey,State,74554227188,0,1,1,3,4/23/2019
Windham,Puleque,23056053053,0,0,1,1,4/14/2019
Carlyn,Ferronet,11827011977,0,0,0,3,8/27/2018
Cybill,Meggison,01506827731,1,2,1,2,9/5/2018
Jacobo,Vinten,50784360580,1,1,0,1,7/8/2018
Verne,Yate,63230895089,1,3,0,2,1/5/2019
Bondon,Quinney,53242234899,1,1,0,1,12/20/2018
Vanni,Lydon,88788008134,0,3,0,4,6/1/2018
Goldina,Semon,20802100327,1,0,1,2,1/12/2019
Wendye,Gerritzen,28286340506,1,3,1,1,4/25/2019
Whitney,Denisyuk,57439284708,0,1,1,2,6/4/2018
Ashli,Bagwell,86917825188,0,1,1,2,2/4/2019
Katalin,Stainburn,90938733277,1,2,0,0,8/1/2018
Brett,Stendall,21570685373,0,0,1,2,2/12/2019
Callean,Pena,82807751265,0,2,0,1,3/9/2019
Cathy,Side,01048417208,0,0,1,4,5/4/2018
Rica,Challice,52871837928,0,0,0,4,9/23/2018
Sylvia,Penylton,96271360445,1,1,1,2,12/9/2018
Robert,Hamer,32818752044,0,3,1,0,2/2/2019
Elinor,Guillon,19264566429,0,0,0,1,1/21/2019
Evvie,Kleiser,63557477599,0,2,1,4,6/23/2018
Marie,Perl,53668757157,0,0,1,0,7/5/2018
Horten,Gonsalvez,93127548974,1,1,0,3,4/5/2019
Christiana,Sissland,69556499231,0,2,1,1,6/29/2018
Elton,Liggens,20603603462,1,3,0,3,7/3/2018
Tallie,Honywill,95910850352,0,3,1,3,12/31/2018
Kristan,Dinning,27112845589,0,1,0,4,8/3/2018
Harriette,Izsak,73457887694,0,2,1,1,7/13/2018
Bertina,Schimmang,39686971032,0,3,1,4,7/8/2018
Franny,Lording,15799047227,1,2,0,3,9/10/2018
Jannel,Larimer,64674170207,0,0,1,2,11/18/2018
Kimberlyn,Seyler,84623754799,1,1,1,4,1/31/2019
Ambrosi,Hamments,01016205130,1,0,0,3,1/2/2019
